symptoms,disease,treatment,medicines,prevention,severity,age_group,consultation_needed,specialist_required,confidence_score,symptom_count
"I have been having sneezing, runny nose, nasal congestion, cough, fatigue for a few days",Common Cold,Saline nasal rinse | Rest | Throat lozenges | Use humidifier,Dextromethorphan 15mg | Paracetamol 500mg | Zinc lozenges 10mg,Wash hands frequently | Get adequate sleep | Boost immune system,Severe,Adult,routine,General Practitioner,90,5
"I'm suffering from sore throat, runny nose, headache, fatigue",Common Cold,Over-the-counter pain relievers | Saline nasal rinse | Rest | Use humidifier,Paracetamol 500mg | Zinc lozenges 10mg | Ibuprofen 400mg,Boost immune system | Wash hands frequently | Get adequate sleep,Severe,Adult,routine,General Practitioner,91,4
"I feel fatigue, sneezing, sore throat, headache, cough",Common Cold,Rest | Over-the-counter pain relievers | Saline nasal rinse | Throat lozenges,Zinc lozenges 10mg | Paracetamol 500mg | Dextromethorphan 15mg,Avoid close contact with infected people | Wash hands frequently | Get adequate sleep,Severe,All Ages,routine,General Practitioner,95,5
"I feel headache, runny nose, sneezing",Common Cold,Over-the-counter pain relievers | Use humidifier | Saline nasal rinse | Increase fluid intake,Dextromethorphan 15mg | Zinc lozenges 10mg | Paracetamol 500mg,Avoid close contact with infected people | Get adequate sleep | Wash hands frequently,Mild,Child,routine,General Practitioner,81,3
"I've noticed nasal congestion, runny nose, headache, mild fever, sore throat recently",Common Cold,Increase fluid intake | Rest | Throat lozenges | Over-the-counter pain relievers,Paracetamol 500mg | Zinc lozenges 10mg | Pseudoephedrine 60mg,Avoid close contact with infected people | Get adequate sleep | Wash hands frequently,Severe,Child,routine,General Practitioner,95,5
"I'm suffering from sneezing, sore throat, nasal congestion, mild fever, cough",Common Cold,Saline nasal rinse | Use humidifier | Increase fluid intake | Over-the-counter pain relievers,Dextromethorphan 15mg | Ibuprofen 400mg | Pseudoephedrine 60mg,Boost immune system | Avoid close contact with infected people | Get adequate sleep,Severe,Child,routine,General Practitioner,92,5
"I've noticed sneezing, runny nose, mild fever, fatigue recently",Common Cold,Increase fluid intake | Use humidifier | Rest | Over-the-counter pain relievers,Pseudoephedrine 60mg | Zinc lozenges 10mg | Paracetamol 500mg,Get adequate sleep | Boost immune system | Avoid close contact with infected people,Moderate,Elderly,routine,General Practitioner,85,4
"I've noticed sneezing, fatigue, cough, runny nose, mild fever recently",Common Cold,Use humidifier | Saline nasal rinse | Increase fluid intake | Throat lozenges,Pseudoephedrine 60mg | Ibuprofen 400mg | Zinc lozenges 10mg,Boost immune system | Get adequate sleep | Avoid close contact with infected people,Severe,Child,routine,General Practitioner,95,5
"I am experiencing headache, fatigue, cough",Common Cold,Use humidifier | Increase fluid intake | Saline nasal rinse | Rest,Dextromethorphan 15mg | Zinc lozenges 10mg | Pseudoephedrine 60mg,Wash hands frequently | Get adequate sleep | Boost immune system,Mild,Child,routine,General Practitioner,84,3
"I'm suffering from cough, sore throat, sneezing, runny nose",Common Cold,Rest | Use humidifier | Increase fluid intake | Throat lozenges,Ibuprofen 400mg | Paracetamol 500mg | Zinc lozenges 10mg,Get adequate sleep | Boost immune system | Wash hands frequently,Severe,Adult,routine,General Practitioner,92,4
"I'm suffering from headache, runny nose, sneezing",Common Cold,Saline nasal rinse | Increase fluid intake | Use humidifier | Rest,Paracetamol 500mg | Dextromethorphan 15mg | Zinc lozenges 10mg,Get adequate sleep | Wash hands frequently | Boost immune system,Moderate,Elderly,routine,General Practitioner,94,3
"I feel sore throat, sneezing, runny nose, headache",Common Cold,Use humidifier | Rest | Saline nasal rinse | Increase fluid intake,Zinc lozenges 10mg | Dextromethorphan 15mg | Pseudoephedrine 60mg,Boost immune system | Wash hands frequently | Get adequate sleep,Severe,Adult,routine,General Practitioner,93,4
"I'm suffering from mild fever, runny nose, headache, fatigue, sore throat",Common Cold,Over-the-counter pain relievers | Throat lozenges | Rest | Increase fluid intake,Zinc lozenges 10mg | Ibuprofen 400mg | Dextromethorphan 15mg,Wash hands frequently | Boost immune system | Avoid close contact with infected people,Severe,Adult,routine,General Practitioner,90,5
"I've noticed headache, runny nose, nasal congestion, cough recently",Common Cold,Saline nasal rinse | Rest | Use humidifier | Over-the-counter pain relievers,Pseudoephedrine 60mg | Dextromethorphan 15mg | Ibuprofen 400mg,Get adequate sleep | Boost immune system | Avoid close contact with infected people,Severe,Adult,routine,General Practitioner,89,4
"I've noticed headache, nasal congestion, fatigue, sneezing recently",Common Cold,Use humidifier | Over-the-counter pain relievers | Rest | Increase fluid intake,Pseudoephedrine 60mg | Ibuprofen 400mg | Dextromethorphan 15mg,Boost immune system | Avoid close contact with infected people | Get adequate sleep,Severe,Adult,routine,General Practitioner,95,4
"I'm suffering from fatigue, headache, nasal congestion, sneezing, runny nose",Common Cold,Saline nasal rinse | Throat lozenges | Use humidifier | Rest,Ibuprofen 400mg | Pseudoephedrine 60mg | Paracetamol 500mg,Avoid close contact with infected people | Wash hands frequently | Boost immune system,Severe,Adult,routine,General Practitioner,91,5
"I have been having sneezing, sore throat, headache, mild fever for a few days",Common Cold,Over-the-counter pain relievers | Saline nasal rinse | Increase fluid intake | Rest,Paracetamol 500mg | Zinc lozenges 10mg | Ibuprofen 400mg,Avoid close contact with infected people | Wash hands frequently | Get adequate sleep,Severe,Adult,routine,General Practitioner,86,4
"I've noticed fatigue, sneezing, sore throat recently",Common Cold,Throat lozenges | Use humidifier | Over-the-counter pain relievers | Saline nasal rinse,Zinc lozenges 10mg | Dextromethorphan 15mg | Pseudoephedrine 60mg,Get adequate sleep | Wash hands frequently | Avoid close contact with infected people,Moderate,Elderly,routine,General Practitioner,94,3
"I feel mild fever, headache, fatigue",Common Cold,Increase fluid intake | Use humidifier | Over-the-counter pain relievers | Rest,Pseudoephedrine 60mg | Ibuprofen 400mg | Dextromethorphan 15mg,Boost immune system | Avoid close contact with infected people | Wash hands frequently,Moderate,Adult,routine,General Practitioner,84,3
"I have been having headache, nasal congestion, sneezing for a few days",Common Cold,Over-the-counter pain relievers | Saline nasal rinse | Use humidifier | Throat lozenges,Dextromethorphan 15mg | Zinc lozenges 10mg | Paracetamol 500mg,Avoid close contact with infected people | Get adequate sleep | Boost immune system,Mild,All Ages,routine,General Practitioner,80,3
"I feel high fever, fatigue, chills, headache",Influenza,Symptom management | Rest | Fever reducers | Antiviral medications,Paracetamol 650mg | Zanamivir 10mg | Ibuprofen 600mg,Annual flu vaccination | Wash hands frequently | Avoid crowded places,Severe,Adult,within_24_hours,Internal Medicine,95,4
"I feel fatigue, dry cough, chills, high fever",Influenza,Symptom management | Antiviral medications | Fever reducers | Rest,Zanamivir 10mg | Ibuprofen 600mg | Oseltamivir 75mg,Annual flu vaccination | Wash hands frequently | Avoid crowded places,Severe,Adult,within_24_hours,Internal Medicine,95,4
"I feel sore throat, fatigue, headache, chills",Influenza,Antiviral medications | Fever reducers | Symptom management | Increase fluid intake,Paracetamol 650mg | Oseltamivir 75mg | Ibuprofen 600mg,Annual flu vaccination | Maintain good hygiene | Avoid crowded places,Moderate,Child,within_24_hours,Internal Medicine,91,4
"I've noticed fatigue, body aches, chills, headache, high fever recently",Influenza,Fever reducers | Increase fluid intake | Rest | Antiviral medications,Oseltamivir 75mg | Ibuprofen 600mg | Zanamivir 10mg,Annual flu vaccination | Avoid crowded places | Maintain good hygiene,Severe,All Ages,within_24_hours,Internal Medicine,95,5
"I am experiencing headache, high fever, dry cough, body aches",Influenza,Symptom management | Antiviral medications | Increase fluid intake | Fever reducers,Paracetamol 650mg | Ibuprofen 600mg | Zanamivir 10mg,Avoid crowded places | Annual flu vaccination | Wash hands frequently,Moderate,All Ages,within_24_hours,Internal Medicine,85,4
"I have been having body aches, headache, fatigue, chills for a few days",Influenza,Rest | Increase fluid intake | Fever reducers | Symptom management,Ibuprofen 600mg | Zanamivir 10mg | Paracetamol 650mg,Avoid crowded places | Annual flu vaccination | Maintain good hygiene,Severe,All Ages,within_24_hours,Internal Medicine,93,4
"I feel muscle pain, dry cough, chills",Influenza,Antiviral medications | Fever reducers | Rest | Symptom management,Ibuprofen 600mg | Oseltamivir 75mg | Zanamivir 10mg,Avoid crowded places | Wash hands frequently | Maintain good hygiene,Moderate,Child,within_24_hours,Internal Medicine,88,3
"I've noticed headache, high fever, body aches, muscle pain, dry cough recently",Influenza,Fever reducers | Symptom management | Rest | Antiviral medications,Oseltamivir 75mg | Zanamivir 10mg | Ibuprofen 600mg,Maintain good hygiene | Avoid crowded places | Annual flu vaccination,Severe,Elderly,within_24_hours,Internal Medicine,95,5
"I'm suffering from sore throat, headache, muscle pain, dry cough",Influenza,Fever reducers | Increase fluid intake | Rest | Symptom management,Zanamivir 10mg | Oseltamivir 75mg | Paracetamol 650mg,Avoid crowded places | Annual flu vaccination | Maintain good hygiene,Severe,Adult,within_24_hours,Internal Medicine,91,4
"I am experiencing muscle pain, fatigue, sore throat, dry cough, chills",Influenza,Increase fluid intake | Rest | Fever reducers | Antiviral medications,Paracetamol 650mg | Oseltamivir 75mg | Ibuprofen 600mg,Avoid crowded places | Annual flu vaccination | Maintain good hygiene,Severe,Adult,within_24_hours,Internal Medicine,95,5
"I feel muscle pain, high fever, chills, dry cough, fatigue",Influenza,Fever reducers | Increase fluid intake | Antiviral medications | Symptom management,Paracetamol 650mg | Zanamivir 10mg | Oseltamivir 75mg,Annual flu vaccination | Wash hands frequently | Avoid crowded places,Severe,Child,within_24_hours,Internal Medicine,92,5
"I'm suffering from fatigue, chills, dry cough",Influenza,Rest | Antiviral medications | Increase fluid intake | Symptom management,Zanamivir 10mg | Paracetamol 650mg | Ibuprofen 600mg,Maintain good hygiene | Wash hands frequently | Avoid crowded places,Mild,Elderly,within_24_hours,Internal Medicine,93,3
"I have been having high fever, dry cough, sore throat, muscle pain, body aches for a few days",Influenza,Antiviral medications | Rest | Symptom management | Increase fluid intake,Oseltamivir 75mg | Ibuprofen 600mg | Paracetamol 650mg,Maintain good hygiene | Wash hands frequently | Avoid crowded places,Severe,Child,within_24_hours,Internal Medicine,95,5
"I feel dry cough, sore throat, fatigue",Influenza,Rest | Increase fluid intake | Fever reducers | Antiviral medications,Ibuprofen 600mg | Oseltamivir 75mg | Paracetamol 650mg,Wash hands frequently | Maintain good hygiene | Annual flu vaccination,Mild,Child,within_24_hours,Internal Medicine,82,3
"I've noticed dry cough, muscle pain, sore throat recently",Influenza,Fever reducers | Antiviral medications | Rest | Increase fluid intake,Ibuprofen 600mg | Zanamivir 10mg | Paracetamol 650mg,Maintain good hygiene | Annual flu vaccination | Avoid crowded places,Moderate,Elderly,within_24_hours,Internal Medicine,93,3
"I'm suffering from dry cough, high fever, chills, body aches, sore throat",Influenza,Antiviral medications | Rest | Fever reducers | Increase fluid intake,Paracetamol 650mg | Oseltamivir 75mg | Zanamivir 10mg,Maintain good hygiene | Annual flu vaccination | Wash hands frequently,Severe,All Ages,within_24_hours,Internal Medicine,95,5
"I'm suffering from sore throat, muscle pain, high fever, body aches",Influenza,Fever reducers | Increase fluid intake | Symptom management | Rest,Oseltamivir 75mg | Zanamivir 10mg | Ibuprofen 600mg,Avoid crowded places | Wash hands frequently | Maintain good hygiene,Severe,All Ages,within_24_hours,Internal Medicine,88,4
"I am experiencing high fever, sore throat, dry cough, headache, chills",Influenza,Symptom management | Increase fluid intake | Fever reducers | Rest,Ibuprofen 600mg | Oseltamivir 75mg | Paracetamol 650mg,Avoid crowded places | Maintain good hygiene | Annual flu vaccination,Severe,All Ages,within_24_hours,Internal Medicine,95,5
"I have been having muscle pain, high fever, chills, dry cough, body aches for a few days",Influenza,Symptom management | Antiviral medications | Increase fluid intake | Rest,Oseltamivir 75mg | Ibuprofen 600mg | Paracetamol 650mg,Maintain good hygiene | Annual flu vaccination | Avoid crowded places,Severe,Elderly,within_24_hours,Internal Medicine,95,5
"I feel dry cough, headache, chills, sore throat, body aches",Influenza,Rest | Fever reducers | Antiviral medications | Increase fluid intake,Oseltamivir 75mg | Zanamivir 10mg | Paracetamol 650mg,Avoid crowded places | Maintain good hygiene | Wash hands frequently,Severe,Elderly,within_24_hours,Internal Medicine,90,5
"I have been having dry cough, chills, muscle pain, sore throat, headache for a few days",Influenza,Symptom management | Fever reducers | Rest | Increase fluid intake,Ibuprofen 600mg | Zanamivir 10mg | Paracetamol 650mg,Wash hands frequently | Avoid crowded places | Annual flu vaccination,Severe,Adult,within_24_hours,Internal Medicine,95,5
"I feel high fever, fatigue, sore throat, headache",Influenza,Rest | Fever reducers | Antiviral medications | Increase fluid intake,Paracetamol 650mg | Oseltamivir 75mg | Zanamivir 10mg,Annual flu vaccination | Avoid crowded places | Wash hands frequently,Severe,Adult,within_24_hours,Internal Medicine,85,4
"I'm suffering from fatigue, high fever, headache, muscle pain",Influenza,Fever reducers | Antiviral medications | Rest | Increase fluid intake,Paracetamol 650mg | Ibuprofen 600mg | Zanamivir 10mg,Annual flu vaccination | Avoid crowded places | Maintain good hygiene,Severe,Elderly,within_24_hours,Internal Medicine,92,4
"I am experiencing body aches, headache, high fever",Influenza,Rest | Increase fluid intake | Antiviral medications | Fever reducers,Paracetamol 650mg | Oseltamivir 75mg | Zanamivir 10mg,Avoid crowded places | Wash hands frequently | Maintain good hygiene,Moderate,Adult,within_24_hours,Internal Medicine,84,3
"I have been having chills, dry cough, sore throat, body aches, muscle pain for a few days",Influenza,Symptom management | Fever reducers | Increase fluid intake | Antiviral medications,Ibuprofen 600mg | Paracetamol 650mg | Oseltamivir 75mg,Wash hands frequently | Maintain good hygiene | Avoid crowded places,Severe,Elderly,within_24_hours,Internal Medicine,95,5
"I am experiencing high fever, chills, headache, fatigue, body aches",Influenza,Increase fluid intake | Symptom management | Fever reducers | Rest,Paracetamol 650mg | Zanamivir 10mg | Ibuprofen 600mg,Wash hands frequently | Maintain good hygiene | Avoid crowded places,Severe,Adult,within_24_hours,Internal Medicine,93,5
"I am experiencing sore throat, dry cough, fatigue, muscle pain",Influenza,Fever reducers | Increase fluid intake | Antiviral medications | Symptom management,Ibuprofen 600mg | Zanamivir 10mg | Oseltamivir 75mg,Avoid crowded places | Annual flu vaccination | Maintain good hygiene,Severe,Adult,within_24_hours,Internal Medicine,93,4
"I feel body aches, sore throat, chills, high fever, fatigue",Influenza,Symptom management | Increase fluid intake | Fever reducers | Antiviral medications,Oseltamivir 75mg | Zanamivir 10mg | Paracetamol 650mg,Maintain good hygiene | Annual flu vaccination | Avoid crowded places,Moderate,Elderly,within_24_hours,Internal Medicine,94,5
"I'm suffering from dry cough, chills, body aches, fatigue, headache",Influenza,Antiviral medications | Fever reducers | Symptom management | Increase fluid intake,Zanamivir 10mg | Paracetamol 650mg | Ibuprofen 600mg,Avoid crowded places | Annual flu vaccination | Wash hands frequently,Severe,Elderly,within_24_hours,Internal Medicine,90,5
"I'm suffering from body aches, headache, fatigue, sore throat, chills",Influenza,Rest | Fever reducers | Antiviral medications | Symptom management,Zanamivir 10mg | Paracetamol 650mg | Oseltamivir 75mg,Maintain good hygiene | Avoid crowded places | Wash hands frequently,Severe,Child,within_24_hours,Internal Medicine,95,5
"I feel fever, body aches, fatigue",COVID-19,Isolation | Antiviral medications | Oxygen therapy if severe | Symptom management,Monoclonal antibodies | Dexamethasone 6mg | Paracetamol 1000mg,Wear masks | Wash hands frequently | Get vaccinated,Mild,All Ages,urgent,Pulmonologist,95,3
"I feel fever, shortness of breath, fatigue, dry cough",COVID-19,Symptom management | Antiviral medications | Isolation | Oxygen therapy if severe,Paracetamol 1000mg | Remdesivir 200mg | Dexamethasone 6mg,Maintain social distancing | Get vaccinated | Wash hands frequently,Severe,Child,urgent,Pulmonologist,95,4
"I'm suffering from dry cough, shortness of breath, loss of smell, fever, loss of taste",COVID-19,Symptom management | Oxygen therapy if severe | Isolation | Antiviral medications,Dexamethasone 6mg | Paracetamol 1000mg | Remdesivir 200mg,Wear masks | Wash hands frequently | Get vaccinated,Severe,Elderly,urgent,Pulmonologist,90,5
"I have been having dry cough, loss of smell, fatigue for a few days",COVID-19,Isolation | Antiviral medications | Oxygen therapy if severe | Symptom management,Dexamethasone 6mg | Paracetamol 1000mg | Monoclonal antibodies,Get vaccinated | Wash hands frequently | Wear masks,Mild,Adult,urgent,Pulmonologist,81,3
"I feel loss of taste, loss of smell, fever, shortness of breath, dry cough",COVID-19,Isolation | Symptom management | Antiviral medications | Oxygen therapy if severe,Paracetamol 1000mg | Dexamethasone 6mg | Remdesivir 200mg,Get vaccinated | Wear masks | Maintain social distancing,Severe,Child,urgent,Pulmonologist,95,5
"I'm suffering from shortness of breath, loss of taste, fever, loss of smell",COVID-19,Symptom management | Isolation | Oxygen therapy if severe | Antiviral medications,Paracetamol 1000mg | Dexamethasone 6mg | Monoclonal antibodies,Wash hands frequently | Maintain social distancing | Wear masks,Severe,Child,urgent,Pulmonologist,88,4
"I have been having shortness of breath, loss of smell, dry cough, loss of taste, body aches for a few days",COVID-19,Oxygen therapy if severe | Symptom management | Antiviral medications | Isolation,Remdesivir 200mg | Dexamethasone 6mg | Paracetamol 1000mg,Maintain social distancing | Wash hands frequently | Wear masks,Severe,Adult,urgent,Pulmonologist,95,5
"I feel loss of taste, fever, shortness of breath, loss of smell, body aches",COVID-19,Oxygen therapy if severe | Isolation | Antiviral medications | Symptom management,Remdesivir 200mg | Dexamethasone 6mg | Paracetamol 1000mg,Wash hands frequently | Maintain social distancing | Get vaccinated,Severe,Elderly,urgent,Pulmonologist,95,5
"I have been having fever, loss of smell, shortness of breath, dry cough for a few days",COVID-19,Antiviral medications | Isolation | Oxygen therapy if severe | Symptom management,Paracetamol 1000mg | Remdesivir 200mg | Dexamethasone 6mg,Wear masks | Wash hands frequently | Get vaccinated,Severe,Child,urgent,Pulmonologist,93,4
"I'm suffering from fatigue, shortness of breath, body aches",COVID-19,Isolation | Antiviral medications | Oxygen therapy if severe | Symptom management,Remdesivir 200mg | Monoclonal antibodies | Paracetamol 1000mg,Get vaccinated | Maintain social distancing | Wash hands frequently,Moderate,All Ages,urgent,Pulmonologist,92,3
"I'm suffering from fatigue, dry cough, body aches, loss of smell",COVID-19,Isolation | Antiviral medications | Oxygen therapy if severe | Symptom management,Remdesivir 200mg | Paracetamol 1000mg | Monoclonal antibodies,Maintain social distancing | Wear masks | Wash hands frequently,Severe,All Ages,urgent,Pulmonologist,95,4
"I'm suffering from fatigue, dry cough, loss of smell, fever",COVID-19,Isolation | Symptom management | Oxygen therapy if severe | Antiviral medications,Remdesivir 200mg | Monoclonal antibodies | Dexamethasone 6mg,Get vaccinated | Wash hands frequently | Maintain social distancing,Severe,Adult,urgent,Pulmonologist,94,4
"I'm suffering from body aches, fatigue, shortness of breath",COVID-19,Isolation | Symptom management | Oxygen therapy if severe | Antiviral medications,Dexamethasone 6mg | Monoclonal antibodies | Remdesivir 200mg,Maintain social distancing | Get vaccinated | Wear masks,Mild,All Ages,urgent,Pulmonologist,81,3
"I've noticed loss of taste, fever, fatigue recently",COVID-19,Antiviral medications | Oxygen therapy if severe | Symptom management | Isolation,Remdesivir 200mg | Dexamethasone 6mg | Monoclonal antibodies,Maintain social distancing | Get vaccinated | Wear masks,Moderate,Child,urgent,Pulmonologist,91,3
"I've noticed body aches, fever, dry cough, loss of taste recently",COVID-19,Isolation | Symptom management | Oxygen therapy if severe | Antiviral medications,Dexamethasone 6mg | Monoclonal antibodies | Remdesivir 200mg,Get vaccinated | Maintain social distancing | Wash hands frequently,Severe,Elderly,urgent,Pulmonologist,91,4
"I am experiencing shortness of breath, body aches, dry cough, loss of smell",COVID-19,Oxygen therapy if severe | Isolation | Antiviral medications | Symptom management,Remdesivir 200mg | Monoclonal antibodies | Dexamethasone 6mg,Wash hands frequently | Maintain social distancing | Wear masks,Moderate,Elderly,urgent,Pulmonologist,95,4
"I feel loss of taste, fever, body aches",COVID-19,Oxygen therapy if severe | Symptom management | Isolation | Antiviral medications,Remdesivir 200mg | Dexamethasone 6mg | Paracetamol 1000mg,Wash hands frequently | Get vaccinated | Maintain social distancing,Moderate,Elderly,urgent,Pulmonologist,91,3
"I've noticed shortness of breath, fever, loss of smell recently",COVID-19,Antiviral medications | Symptom management | Isolation | Oxygen therapy if severe,Dexamethasone 6mg | Monoclonal antibodies | Paracetamol 1000mg,Wear masks | Get vaccinated | Wash hands frequently,Moderate,Elderly,urgent,Pulmonologist,83,3
"I feel fever, loss of smell, dry cough, body aches, loss of taste",COVID-19,Symptom management | Antiviral medications | Oxygen therapy if severe | Isolation,Monoclonal antibodies | Dexamethasone 6mg | Paracetamol 1000mg,Get vaccinated | Maintain social distancing | Wear masks,Severe,Elderly,urgent,Pulmonologist,92,5
"I'm suffering from loss of smell, shortness of breath, loss of taste",COVID-19,Symptom management | Antiviral medications | Isolation | Oxygen therapy if severe,Paracetamol 1000mg | Dexamethasone 6mg | Monoclonal antibodies,Wear masks | Maintain social distancing | Get vaccinated,Moderate,All Ages,urgent,Pulmonologist,89,3
"I feel body aches, fatigue, dry cough, fever, shortness of breath",COVID-19,Oxygen therapy if severe | Isolation | Symptom management | Antiviral medications,Dexamethasone 6mg | Remdesivir 200mg | Monoclonal antibodies,Wash hands frequently | Get vaccinated | Maintain social distancing,Severe,Adult,urgent,Pulmonologist,94,5
"I've noticed fatigue, fever, loss of smell recently",COVID-19,Isolation | Oxygen therapy if severe | Symptom management | Antiviral medications,Monoclonal antibodies | Remdesivir 200mg | Paracetamol 1000mg,Wear masks | Maintain social distancing | Get vaccinated,Moderate,Child,urgent,Pulmonologist,94,3
"I've noticed fatigue, shortness of breath, dry cough, loss of taste recently",COVID-19,Antiviral medications | Isolation | Oxygen therapy if severe | Symptom management,Monoclonal antibodies | Remdesivir 200mg | Dexamethasone 6mg,Wash hands frequently | Wear masks | Maintain social distancing,Moderate,All Ages,urgent,Pulmonologist,95,4
"I have been having body aches, dry cough, loss of smell for a few days",COVID-19,Isolation | Oxygen therapy if severe | Symptom management | Antiviral medications,Remdesivir 200mg | Paracetamol 1000mg | Monoclonal antibodies,Maintain social distancing | Get vaccinated | Wash hands frequently,Moderate,All Ages,urgent,Pulmonologist,88,3
"I'm suffering from dry cough, loss of taste, fever, body aches, shortness of breath",COVID-19,Antiviral medications | Isolation | Symptom management | Oxygen therapy if severe,Dexamethasone 6mg | Monoclonal antibodies | Remdesivir 200mg,Maintain social distancing | Get vaccinated | Wash hands frequently,Moderate,Child,urgent,Pulmonologist,95,5
"I'm suffering from shortness of breath, fatigue, dry cough, loss of smell, fever",COVID-19,Symptom management | Oxygen therapy if severe | Antiviral medications | Isolation,Remdesivir 200mg | Monoclonal antibodies | Paracetamol 1000mg,Maintain social distancing | Get vaccinated | Wash hands frequently,Severe,Child,urgent,Pulmonologist,95,5
"I have been having dry cough, fatigue, fever, loss of smell for a few days",COVID-19,Antiviral medications | Isolation | Oxygen therapy if severe | Symptom management,Remdesivir 200mg | Paracetamol 1000mg | Monoclonal antibodies,Wear masks | Wash hands frequently | Maintain social distancing,Severe,Elderly,urgent,Pulmonologist,85,4
"I am experiencing loss of smell, loss of taste, dry cough",COVID-19,Oxygen therapy if severe | Isolation | Antiviral medications | Symptom management,Monoclonal antibodies | Remdesivir 200mg | Dexamethasone 6mg,Maintain social distancing | Wear masks | Get vaccinated,Moderate,Child,urgent,Pulmonologist,91,3
"I have been having dry cough, shortness of breath, fever, fatigue for a few days",COVID-19,Oxygen therapy if severe | Antiviral medications | Symptom management | Isolation,Monoclonal antibodies | Paracetamol 1000mg | Dexamethasone 6mg,Wear masks | Get vaccinated | Maintain social distancing,Moderate,Child,urgent,Pulmonologist,95,4
"I'm suffering from dry cough, fever, body aches, shortness of breath",COVID-19,Antiviral medications | Oxygen therapy if severe | Symptom management | Isolation,Remdesivir 200mg | Paracetamol 1000mg | Monoclonal antibodies,Maintain social distancing | Wear masks | Get vaccinated,Moderate,Elderly,urgent,Pulmonologist,95,4
"I feel chest pain, dizziness, visual changes",Hypertension,Regular exercise | Low sodium diet | Weight management | Medication therapy,Metoprolol 50mg | Hydrochlorothiazide 25mg | Lisinopril 10mg,Maintain healthy weight | Limit alcohol | Manage stress,Moderate,Adult,within_week,Cardiologist,93,3
